2019-09-22 21:47:26,882 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Allocating load generator [1] on [localhost]
2019-09-22 21:47:26,883 ActorAddr-(T|:36095)/PID:30397 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 8, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1569188712859'}] match requirements [{'coordinator': True}].
2019-09-22 21:47:26,887 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Starting load generator [0].
2019-09-22 21:47:26,889 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Starting load generator [1].
2019-09-22 21:47:26,890 ActorAddr-(T|:36095)/PID:30397 esrally.actor INFO A track preparator has exited.
2019-09-22 21:47:26,893 ActorAddr-(T|:36095)/PID:30397 esrally.actor INFO A track preparator has exited.
2019-09-22 21:47:26,901 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] is about to start.
2019-09-22 21:47:26,971 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO [1/2] drivers reached join point [0/10].
2019-09-22 21:47:26,902 ActorAddr-(T|:42599)/PID:30399 esrally.client INFO Creating ES client connected to [{'host': '127.0.0.1', 'port': 39200}] with options [{'timeout': 1200000}]
2019-09-22 21:47:26,902 ActorAddr-(T|:42599)/PID:30399 esrally.client INFO SSL support: off
2019-09-22 21:47:26,903 ActorAddr-(T|:42599)/PID:30399 esrally.client INFO HTTP basic authentication: off
2019-09-22 21:47:26,903 ActorAddr-(T|:42599)/PID:30399 esrally.client INFO HTTP compression: off
2019-09-22 21:47:26,904 ActorAddr-(T|:42599)/PID:30399 esrally.utils.modules INFO Loading component [field_update] from [/home/ubuntu/elastic-dv-inplace-update-benchmark/field_update]
2019-09-22 21:47:26,970 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] reached join point [JoinPoint(0)].
2019-09-22 21:47:26,903 ActorAddr-(T|:44803)/PID:30400 esrally.actor INFO LoadGenerator[1] is about to start.
2019-09-22 21:47:26,904 ActorAddr-(T|:44803)/PID:30400 esrally.client INFO Creating ES client connected to [{'host': '127.0.0.1', 'port': 39200}] with options [{'timeout': 1200000}]
2019-09-22 21:47:26,905 ActorAddr-(T|:44803)/PID:30400 esrally.client INFO SSL support: off
2019-09-22 21:47:26,976 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO [2/2] drivers reached join point [0/10].
2019-09-22 21:47:26,905 ActorAddr-(T|:44803)/PID:30400 esrally.client INFO HTTP basic authentication: off
2019-09-22 21:47:26,978 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Task has finished.
2019-09-22 21:47:26,978 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO All drivers completed their tasks until join point [0/10].
2019-09-22 21:47:26,979 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Bulk adding request metrics to metrics store.
